Method,Old path,New path,Parameter changes
"POST","/t/arrangement/intent_preferences/add_intent_to_time_slot/{intent_uuid}","/v0/administration/arrangement/intent_preferences/add_intent_to_time_slot/{intent_uuid}",""
"GET","/t/arrangement/intent_preferences/for_client_in_period/{client_uuid}","/v0/administration/arrangement/intent_preferences/for_client_in_period/{client_uuid}",""
"DELETE","/t/arrangement/intent_preferences/remove_intent_from_time_slot/{intent_uuid}","/v0/administration/arrangement/intent_preferences/remove_intent_from_time_slot/{intent_uuid}",""
"POST","/t/arrangement/intent_preferences/set_intent_to_time_slots/{intent_uuid}","/v0/administration/arrangement/intent_preferences/set_intent_to_time_slots/{intent_uuid}",""
"POST","/t/arrangement/intent_preferences/set_time_slot_to_intents/{time_slot_uuid}","/v0/administration/arrangement/intent_preferences/set_time_slot_to_intents/{time_slot_uuid}",""
"POST","/t/arrangement/intents","/v0/administration/arrangement/intents",""
"PUT","/t/arrangement/intents/{uuid}","/v0/administration/arrangement/intents/{uuid}",""
"DELETE","/t/arrangement/intents/{uuid}","/v0/administration/arrangement/intents/{uuid}",""
"GET","/t/arrangement/intents/by_client_period_plannable/{client_id}","/v0/administration/arrangement/intents/by_client_period_plannable/{client_id}",""
"GET","/t/arrangement/intents/by_employee/{employee_id}","/v0/administration/arrangement/intents/by_employee/{employee_id}",""
"PUT","/t/arrangement/intents/by_timeline/{timeline_uuid}","/v0/administration/arrangement/intents/by_timeline/{timeline_uuid}",""
"DELETE","/t/arrangement/intents/by_timeline/{timeline_uuid}","/v0/administration/arrangement/intents/by_timeline/{timeline_uuid}",""
"POST","/t/arrangement/stakeholders","/v0/administration/arrangement/stakeholders",""
"GET","/t/arrangement/stakeholders/{uuid}","/v0/administration/arrangement/stakeholders/{uuid}",""
"PUT","/t/arrangement/stakeholders/{uuid}","/v0/administration/arrangement/stakeholders/{uuid}",""
"DELETE","/t/arrangement/stakeholders/{uuid}","/v0/administration/arrangement/stakeholders/{uuid}",""
"GET","/t/arrangement/stakeholders/by_intent/{intent_uuid}","/v0/administration/arrangement/stakeholders/by_intent/{intent_uuid}",""
"GET","/t/arrangement/stakeholders/by_timeline/{timeline_uuid}","/v0/administration/arrangement/stakeholders/by_timeline/{timeline_uuid}",""
"POST","/t/arrangement/time_slots","/v0/administration/arrangement/time_slots",""
"GET","/t/arrangement/time_slots/{uuid}","/v0/administration/arrangement/time_slots/{uuid}",""
"PUT","/t/arrangement/time_slots/{uuid}","/v0/administration/arrangement/time_slots/{uuid}",""
"DELETE","/t/arrangement/time_slots/{uuid}","/v0/administration/arrangement/time_slots/{uuid}",""
"GET","/t/arrangement/time_slots/all_for_client/{client_uuid}","/v0/administration/arrangement/time_slots/all_for_client/{client_uuid}",""
"GET","/t/arrangement/time_slots/all_for_intent/{intent_uuid}","/v0/administration/arrangement/time_slots/all_for_intent/{intent_uuid}",""
"GET","/t/arrangement/time_slots/generic_for_client/{client_uuid}","/v0/administration/arrangement/time_slots/generic_for_client/{client_uuid}",""
"GET","/t/employees/{employee_id}/expense_address","/v0/administration/authorized/employees/{employee_id}/expense_address",""
"PUT","/t/employees/{employee_id}/expense_address","/v0/administration/authorized/employees/{employee_id}/expense_address",""
"DELETE","/t/employees/{employee_id}/expense_address/{expenseAddress_id}","/v0/administration/authorized/employees/{employee_id}/expense_address/{expenseAddress_id}",""
"GET","/t/employees/{employee_id}/vehicle","/v0/administration/authorized/employees/{employee_id}/vehicle",""
"PUT","/t/employees/{employee_id}/vehicle","/v0/administration/authorized/employees/{employee_id}/vehicle",""
"DELETE","/t/employees/{employee_id}/vehicle/{vehicle_assignment_id}","/v0/administration/authorized/employees/{employee_id}/vehicle/{vehicle_assignment_id}",""
"POST","/t/bsns","/v0/administration/bsns",""
"GET","/t/bsns/{id}","/v0/administration/bsns/{id}",""
"GET","/t/capacity/capacity_profiles","/v0/administration/capacity/capacity_profiles",""
"GET","/t/capacity/capacity_profiles/{id}","/v0/administration/capacity/capacity_profiles/{id}",""
"GET","/t/capacity/capacity_profiles/all_active","/v0/administration/capacity/capacity_profiles/all_active",""
"POST","/t/care_provider_addresses","/v0/administration/care_provider_addresses",""
"GET","/t/care_provider_addresses/{id}","/v0/administration/care_provider_addresses/{id}",""
"POST","/t/care_allocations","/v0/administration/careallocations",""
"GET","/t/care_allocations/{id}","/v0/administration/careallocations/{id}",""
"PUT","/t/care_allocations/{id}","/v0/administration/careallocations/{id}",""
"POST","/t/external_care_providers","/v0/administration/careproviders",""
"GET","/t/external_care_providers/{care_provider_id}/addresses","/v0/administration/careproviders/{care_provider_id}/addresses",""
"POST","/t/external_care_providers/{care_provider_id}/assign_to_client/{client_id}","/v0/administration/careproviders/{care_provider_id}/assign_to_client/{client_id}",""
"DELETE","/t/external_care_providers/{care_provider_id}/unassign_from_client/{client_id}","/v0/administration/careproviders/{care_provider_id}/unassign_from_client/{client_id}",""
"GET","/t/external_care_providers/{id}","/v0/administration/careproviders/{id}",""
"GET","/t/external_care_providers/category/{category_id}/{identification}","/v0/administration/careproviders/category/{category_id}/{identification}",""
"GET","/t/external_care_providers/identification/{identification}","/v0/administration/careproviders/identification/{identification}",""
"POST","/t/client_addresses","/v0/administration/client_addresses",""
"GET","/t/client_addresses/{id}","/v0/administration/client_addresses/{id}",""
"PUT","/t/client_addresses/{id}","/v0/administration/client_addresses/{id}",""
"POST","/t/client_contact_relation_addresses","/v0/administration/client_contact_relation_addresses",""
"GET","/t/client_contact_relation_addresses/{id}","/v0/administration/client_contact_relation_addresses/{id}",""
"GET","/t/client_contact_relations","/v0/administration/client_contact_relations",""
"POST","/t/client_contact_relations","/v0/administration/client_contact_relations",""
"GET","/t/client_contact_relations/{id}","/v0/administration/client_contact_relations/{id}",""
"PUT","/t/client_contact_relations/{id}","/v0/administration/client_contact_relations/{id}",""
"DELETE","/t/client_contact_relations/{id}","/v0/administration/client_contact_relations/{id}",""
"GET","/t/client_contact_relations/{relation_id}/addresses","/v0/administration/client_contact_relations/{relation_id}/addresses",""
"GET","/t/client_contact_relations/{relation_id}/client_contact_relation_addresses","/v0/administration/client_contact_relations/{relation_id}/addresses",""
"GET","/t/client_contact_relations/by_client_ids","/v0/administration/client_contact_relations/by_client_ids",""
"GET","/t/clients/{client_id}/client_contact_relations","/v0/administration/client_contact_relations/by_client/{client_id}",""
"GET","/t/client_absence_reasons/{id}","/v0/administration/clientAbsenceReasons/{id}",""
"GET","/t/client_absence_reasons","/v0/administration/clientAbsenceReasons/all",""
"POST","/t/client_absences","/v0/administration/clientAbsences",""
"GET","/t/client_absences/{id}","/v0/administration/clientAbsences/{id}",""
"PUT","/t/client_absences/{id}","/v0/administration/clientAbsences/{id}",""
"DELETE","/t/client_absences/{id}","/v0/administration/clientAbsences/{id}",""
"GET","/t/clients/{client_id}/client_absences","/v0/administration/clientAbsences/search_by_client","client_id: moved from path to query"
"GET","/t/clients/{client_id}/client_absences_by_type","/v0/administration/clientAbsences/search_by_client_and_type","client_id: moved from path to query"
"POST","/t/clients","/v0/administration/clients",""
"GET","/t/clients_in_care","/v0/administration/clients_in_care",""
"GET","/t/clients_in_care/old_method","/v0/administration/clients_in_care/old_method",""
"GET","/t/clients/{client_id}/addresses","/v0/administration/clients/{client_id}/addresses",""
"GET","/t/clients/{client_id}/bank_account","/v0/administration/clients/{client_id}/bank_account",""
"GET","/t/clients/{client_id}/bsn","/v0/administration/clients/{client_id}/bsn",""
"GET","/t/clients/{client_id}/care_allocations","/v0/administration/clients/{client_id}/care_allocations",""
"GET","/t/clients/{client_id}/care_arrangements","/v0/administration/clients/{client_id}/care_arrangements",""
"GET","/t/clients/{client_id}/care_providers","/v0/administration/clients/{client_id}/careproviders",""
"GET","/t/clients/{client_id}/client_cards","/v0/administration/clients/{client_id}/clipped_cards",""
"GET","/t/clients/{client_id}/locations","/v0/administration/clients/{client_id}/clipped_locations",""
"GET","/t/clients/{client_id}/consents","/v0/administration/clients/{client_id}/consents",""
"GET","/t/clients/{client_id}/debtors","/v0/administration/clients/{client_id}/debtors",""
"POST","/t/documents","/v0/administration/clients/{client_id}/documents","client_id: moved from query to path"
"GET","/t/documents","/v0/administration/clients/{client_id}/documents/{doc_id}","client_id: moved from query to path","doc_id: moved from query to path"
"GET","/t/documents/download","/v0/administration/clients/{client_id}/documents/{doc_id}/download","client_id: moved from query to path","doc_id: moved from query to path"
"GET","/t/documents/by_client/{client_id}","/v0/administration/clients/{client_id}/documents/all",""
"GET","/t/documents/by_client/{client_id}/all_archived_included","/v0/administration/clients/{client_id}/documents/all_archived_included",""
"GET","/t/clients/{client_id}/finance_types/{finance_type_id}/coordinating_practitioner","/v0/administration/clients/{client_id}/finance_types/{finance_type_id}/coordinating_practitioner",""
"GET","/t/clients/{client_id}/insurances","/v0/administration/clients/{client_id}/insurances",""
"GET","/t/clients/{client_id}/location_assignments","/v0/administration/clients/{client_id}/locations",""
"GET","/t/clients/{client_id}/main_location","/v0/administration/clients/{client_id}/main_location",""
"GET","/t/clients/{client_id}/main_location_assignment","/v0/administration/clients/{client_id}/main_location_assignment",""
"GET","/t/clients/{client_id}/presence_logs","/v0/administration/clients/{client_id}/presence_logs",""
"GET","/t/clients/{client_id}/main_address","/v0/administration/clients/{client_id}/primary_address",""
"GET","/t/clients/{client_id}/waiting_list_location_assignments","/v0/administration/clients/{client_id}/waiting_list_locations",""
"GET","/t/clients/{employee_id}/last_visited_clients","/v0/administration/clients/{employee_id}/last_visited_clients",""
"GET","/t/clients/{id}","/v0/administration/clients/{id}",""
"PUT","/t/clients/{id}","/v0/administration/clients/{id}",""
"GET","/t/clients/by_bsn","/v0/administration/clients/by_bsn",""
"GET","/t/clients/by_bsn/{bsn}","/v0/administration/clients/by_bsn/{bsn}",""
"GET","/t/clients/by_skn","/v0/administration/clients/by_skn",""
"GET","/t/clients/by_uuid/{uuid}","/v0/administration/clients/by_uuid/{uuid}",""
"GET","/t/clients/by_identification_no/{identification_no}","/v0/administration/clients/byIdentificationNumber/{identification_no}",""
"GET","/t/clients/searchresult","/v0/administration/clients/find","employee: renamed from employee_id","includewaiting: renamed from include_waiting","includeoutofcare: renamed from include_outofcare"
"GET","/t/clients/search_grouped","/v0/administration/clients/find_grouped","employee: renamed from employee_id","includewaiting: renamed from include_waiting","includeoutofcare: renamed from include_outofcare"
"GET","/t/clients/ids_in_care_in_period","/v0/administration/clients/ids_in_care_in_period",""
"GET","/t/clients/in_care_in_period","/v0/administration/clients/in_care_in_period",""
"GET","/t/clients/multiple","/v0/administration/clients/multiple",""
"GET","/t/clients/search_by/locations/{location_id}","/v0/administration/clients/search_by_location","location_id: moved from path to query"
"POST","/t/payroll/collective_agreement_assignments","/v0/administration/collective_agreement_assignments",""
"GET","/t/payroll/collective_agreement_assignments/{id}","/v0/administration/collective_agreement_assignments/{id}",""
"PUT","/t/payroll/collective_agreement_assignments/{id}","/v0/administration/collective_agreement_assignments/{id}",""
"DELETE","/t/payroll/collective_agreement_assignments/{id}","/v0/administration/collective_agreement_assignments/{id}",""
"GET","/t/employees/{employee_id}/collective_agreement_assignments","/v0/administration/collective_agreement_assignments/by_employee_id/{employee_id}",""
"DELETE","/t/employees/{employee_id}/collective_agreement_assignments","/v0/administration/collective_agreement_assignments/by_employee_id/{employee_id}",""
"GET","/t/payroll/collective_agreement_rules/{id}","/v0/administration/collective_agreement_rules/{id}",""
"GET","/t/payroll/collective_agreements/{collective_agreement_id}/collective_agreement_rules","/v0/administration/collective_agreement_rules/by_collective_agreement_id/{collective_agreement_id}",""
"GET","/t/payroll/collective_agreements","/v0/administration/collective_agreements",""
"GET","/t/payroll/collective_agreements/{id}","/v0/administration/collective_agreements/{id}",""
"GET","/t/nuts/consents/{id}","/v0/administration/consents/{id}",""
"GET","/t/payroll/contract_types/{id}","/v0/administration/contract_types/{id}",""
"POST","/t/payroll/contracts","/v0/administration/contracts",""
"GET","/t/payroll/contracts/{id}","/v0/administration/contracts/{id}",""
"PUT","/t/payroll/contracts/{id}","/v0/administration/contracts/{id}",""
"GET","/t/cost_centers","/v0/administration/cost_centers/costCenterSelectionOptions",""
"GET","/t/dashboard_profiles","/v0/administration/dashboard_profiles",""
"GET","/t/dbc/dbc_sub_trajects/{id}","/v0/administration/dbc/dbc_sub_trajects/{id}",""
"GET","/t/dbc/dbc_sub_trajects/in_period","/v0/administration/dbc/dbc_sub_trajects/in_period",""
"GET","/t/dbc/dbc_trajects/{dbc_traject_id}/dbc_sub_trajects","/v0/administration/dbc/dbc_trajects/{dbc_traject_id}/dbc_sub_trajects",""
"GET","/t/dbc/dbc_trajects/{id}","/v0/administration/dbc/dbc_trajects/{id}",""
"GET","/t/clients/{client_id}/dbc_trajects","/v0/administration/dbc/dbc_trajects/by_client/{client_id}",""
"GET","/t/debtors","/v0/administration/debtors",""
"GET","/t/debtors/{id}","/v0/administration/debtors/{id}",""
"PUT","/t/documents/update_status/{document_object_id}","/v0/administration/documents/{document_object_id}/status",""
"POST","/t/dossier/action_entries","/v0/administration/dossier/action_entries",""
"PUT","/t/dossier/action_entries/{id}","/v0/administration/dossier/action_entries/{id}",""
"DELETE","/t/dossier/action_entries/{id}","/v0/administration/dossier/action_entries/{id}",""
"POST","/t/dossier/actions","/v0/administration/dossier/actions",""
"GET","/t/dossier/actions/{id}","/v0/administration/dossier/actions/{id}",""
"PUT","/t/dossier/actions/{id}","/v0/administration/dossier/actions/{id}",""
"DELETE","/t/dossier/actions/{id}","/v0/administration/dossier/actions/{id}",""
"GET","/t/dossier/actions/multiple","/v0/administration/dossier/actions/multiple",""
"GET","/t/dossier/actions/search","/v0/administration/dossier/actions/search",""
"POST","/t/dossier/care_plan_entries","/v0/administration/dossier/care_plan_entries",""
"GET","/t/dossier/care_plan_entries/{care_plan_entry_id}/action_entries","/v0/administration/dossier/care_plan_entries/{care_plan_entry_id}/action_entries",""
"GET","/t/dossier/care_plan_entries/{id}","/v0/administration/dossier/care_plan_entries/{id}",""
"PUT","/t/dossier/care_plan_entries/{id}","/v0/administration/dossier/care_plan_entries/{id}",""
"DELETE","/t/dossier/care_plan_entries/{id}","/v0/administration/dossier/care_plan_entries/{id}",""
"POST","/t/dossier/care_plan_entries/create","/v0/administration/dossier/care_plan_entries/create",""
"GET","/t/dossier/care_plan_report_rights/last_report","/v0/administration/dossier/care_plan_report_rights/last_report",""
"POST","/t/dossier/care_plans","/v0/administration/dossier/care_plans",""
"GET","/t/dossier/care_plans/{care_plan_id}/care_plan_entries","/v0/administration/dossier/care_plans/{care_plan_id}/entries",""
"GET","/t/dossier/care_plans/{id}","/v0/administration/dossier/care_plans/{id}",""
"PUT","/t/dossier/care_plans/{id}","/v0/administration/dossier/care_plans/{id}",""
"DELETE","/t/dossier/care_plans/{id}","/v0/administration/dossier/care_plans/{id}",""
"POST","/t/dossier/care_plans/{id}/activate","/v0/administration/dossier/care_plans/{id}/activate",""
"POST","/t/dossier/care_plans/{id}/archive","/v0/administration/dossier/care_plans/{id}/archive",""
"GET","/t/clients/{client_id}/care_plans","/v0/administration/dossier/care_plans/by_client/{client_id}",""
"GET","/t/clients/{client_id}/active_care_plan","/v0/administration/dossier/care_plans/by_client/{client_id}/active",""
"GET","/t/clients/{client_id}/draft_care_plan","/v0/administration/dossier/care_plans/by_client/{client_id}/draft",""
"POST","/t/dossier/care_plans/by_client/{client_id}/new","/v0/administration/dossier/care_plans/by_client/{client_id}/new",""
"GET","/t/dossier/client_notes","/v0/administration/dossier/client_notes","updatedSince: renamed from updated_since"
"POST","/t/dossier/client_notes","/v0/administration/dossier/client_notes",""
"GET","/t/dossier/client_notes/{id}","/v0/administration/dossier/client_notes/{id}",""
"PUT","/t/dossier/client_notes/{id}","/v0/administration/dossier/client_notes/{id}",""
"DELETE","/t/dossier/client_notes/{id}","/v0/administration/dossier/client_notes/{id}",""
"GET","/t/clients/{client_id}/client_notes","/v0/administration/dossier/client_notes/by_client/{client_id}",""
"POST","/t/dossier/demand_entries","/v0/administration/dossier/demand_entries",""
"DELETE","/t/dossier/demand_entries/{id}","/v0/administration/dossier/demand_entries/{id}",""
"POST","/t/dossier/demands","/v0/administration/dossier/demands",""
"GET","/t/dossier/demands/{demand_id}/goals","/v0/administration/dossier/demands/{demand_id}/goals",""
"GET","/t/dossier/demands/{id}","/v0/administration/dossier/demands/{id}",""
"PUT","/t/dossier/demands/{id}","/v0/administration/dossier/demands/{id}",""
"DELETE","/t/dossier/demands/{id}","/v0/administration/dossier/demands/{id}",""
"GET","/t/dossier/demands/multiple","/v0/administration/dossier/demands/multiple",""
"GET","/t/dossier/domains","/v0/administration/dossier/domains",""
"POST","/t/dossier/domains","/v0/administration/dossier/domains",""
"GET","/t/dossier/domains/{domain_id}/actions","/v0/administration/dossier/domains/{domain_id}/actions",""
"GET","/t/dossier/domains/{domain_id}/demands","/v0/administration/dossier/domains/{domain_id}/demands",""
"GET","/t/dossier/domains/{domain_id}/goals","/v0/administration/dossier/domains/{domain_id}/goals",""
"GET","/t/dossier/domains/{id}","/v0/administration/dossier/domains/{id}",""
"PUT","/t/dossier/domains/{id}","/v0/administration/dossier/domains/{id}",""
"GET","/t/dossier/domains/multiple","/v0/administration/dossier/domains/multiple",""
"POST","/t/dossier/goal_entries","/v0/administration/dossier/goal_entries",""
"GET","/t/dossier/goal_entries/{id}","/v0/administration/dossier/goal_entries/{id}",""
"PUT","/t/dossier/goal_entries/{id}","/v0/administration/dossier/goal_entries/{id}",""
"DELETE","/t/dossier/goal_entries/{id}","/v0/administration/dossier/goal_entries/{id}",""
"POST","/t/dossier/goals","/v0/administration/dossier/goals",""
"GET","/t/dossier/goals/{goal_id}/actions","/v0/administration/dossier/goals/{goal_id}/actions",""
"GET","/t/dossier/goals/{id}","/v0/administration/dossier/goals/{id}",""
"PUT","/t/dossier/goals/{id}","/v0/administration/dossier/goals/{id}",""
"DELETE","/t/dossier/goals/{id}","/v0/administration/dossier/goals/{id}",""
"GET","/t/dossier/goals/multiple","/v0/administration/dossier/goals/multiple",""
"GET","/t/dossier/goals/search","/v0/administration/dossier/goals/search",""
"GET","/t/dossier/medical_notes","/v0/administration/dossier/medical_notes","updatedSince: renamed from updated_since"
"POST","/t/dossier/medical_notes","/v0/administration/dossier/medical_notes",""
"GET","/t/dossier/medical_notes/{id}","/v0/administration/dossier/medical_notes/{id}",""
"PUT","/t/dossier/medical_notes/{id}","/v0/administration/dossier/medical_notes/{id}",""
"DELETE","/t/dossier/medical_notes/{id}","/v0/administration/dossier/medical_notes/{id}",""
"GET","/t/clients/{client_id}/medical_notes","/v0/administration/dossier/medical_notes/by_client/{client_id}",""
"GET","/t/clients/{client_id}/unfiltered_medical_notes","/v0/administration/dossier/medical_notes/unfiltered_by_client/{client_id}",""
"GET","/t/dossier/report_types","/v0/administration/dossier/report_types",""
"GET","/t/dossier/report_types/{id}","/v0/administration/dossier/report_types/{id}",""
"PUT","/t/dossier/report_types/{id}","/v0/administration/dossier/report_types/{id}",""
"POST","/t/dossier/reports","/v0/administration/dossier/reports",""
"GET","/t/dossier/reports/{id}","/v0/administration/dossier/reports/{id}",""
"PUT","/t/dossier/reports/{id}","/v0/administration/dossier/reports/{id}",""
"DELETE","/t/dossier/reports/{id}","/v0/administration/dossier/reports/{id}",""
"GET","/t/dossier/reports/{report_id}/children","/v0/administration/dossier/reports/{report_id}/children",""
"GET","/t/dossier/reports/by_care_plan_entry_unescaped/{care_plan_entry_id}","/v0/administration/dossier/reports/by_care_plan_entry_unescaped/{care_plan_entry_id}",""
"GET","/t/dossier/reports/by_care_plan_entry/{care_plan_entry_id}","/v0/administration/dossier/reports/by_care_plan_entry/{care_plan_entry_id}",""
"GET","/t/dossier/reports/by_date","/v0/administration/dossier/reports/by_date/{valid_from}...{valid_to}","valid_from: moved from query to path","valid_to: moved from query to path"
"GET","/t/dossier/reports/by_demand/{demand_id}","/v0/administration/dossier/reports/by_demand/{demand_id}",""
"GET","/t/dossier/reports/by_episode/{episode_id}","/v0/administration/dossier/reports/by_episode/{episode_id}",""
"GET","/t/dossier/reports/by_report_link/{report_link_id}","/v0/administration/dossier/reports/by_report_link/{report_link_id}",""
"GET","/t/dossier/reports/by_restrictive_measure/{restrictive_measure_id}","/v0/administration/dossier/reports/by_restrictive_measure/{restrictive_measure_id}",""
"GET","/t/dossier/reports/by_uuid/{uuid}","/v0/administration/dossier/reports/by_uuid/{uuid}",""
"GET","/t/dossier/reports/last_report_authorizations","/v0/administration/dossier/reports/last_report_authorizations",""
"GET","/t/dossier/reports/search_by_client","/v0/administration/dossier/reports/search_by_client",""
"POST","/t/dossier/reports/soap/report","/v0/administration/dossier/reports/soap/report",""
"PUT","/t/dossier/reports/soap/report/{id}","/v0/administration/dossier/reports/soap/report/{id}",""
"GET","/t/dossier/system_notes","/v0/administration/dossier/system_notes","updatedSince: renamed from updated_since"
"POST","/t/dossier/system_notes","/v0/administration/dossier/system_notes",""
"GET","/t/dossier/system_notes/{id}","/v0/administration/dossier/system_notes/{id}",""
"PUT","/t/dossier/system_notes/{id}","/v0/administration/dossier/system_notes/{id}",""
"DELETE","/t/dossier/system_notes/{id}","/v0/administration/dossier/system_notes/{id}",""
"POST","/t/employee_addresses","/v0/administration/employee_addresses",""
"GET","/t/employee_addresses/{id}","/v0/administration/employee_addresses/{id}",""
"PUT","/t/employee_workflows/{employee_id}/timesheet_submit_date","/v0/administration/employee_workflows/{employee_id}/timesheet_submit_date",""
"PUT","/t/employee_workflows/{employee_id}/timesheet_submit_date_authorized","/v0/administration/employee_workflows/{employee_id}/timesheet_submit_date_authorized",""
"POST","/t/employees","/v0/administration/employees",""
"GET","/t/employees/{employee_id}","/v0/administration/employees/{employee_id}",""
"PUT","/t/employees/{employee_id}","/v0/administration/employees/{employee_id}",""
"GET","/t/employees/{employee_id}/addresses","/v0/administration/employees/{employee_id}/addresses",""
"GET","/t/employees/{employee_id}/agb_codes","/v0/administration/employees/{employee_id}/agb_codes",""
"POST","/t/employees/{employee_id}/agb_codes","/v0/administration/employees/{employee_id}/agb_codes",""
"GET","/t/employees/{employee_id}/agb_codes/{agb_code_id}","/v0/administration/employees/{employee_id}/agb_codes/{agb_code_id}",""
"PUT","/t/employees/{employee_id}/agb_codes/{agb_code_id}","/v0/administration/employees/{employee_id}/agb_codes/{agb_code_id}",""
"DELETE","/t/employees/{employee_id}/agb_codes/{agb_code_id}","/v0/administration/employees/{employee_id}/agb_codes/{agb_code_id}",""
"GET","/t/employees/{employee_id}/bank_account","/v0/administration/employees/{employee_id}/bank_account",""
"GET","/t/employees/{employee_id}/big_codes","/v0/administration/employees/{employee_id}/big_codes",""
"POST","/t/employees/{employee_id}/big_codes","/v0/administration/employees/{employee_id}/big_codes",""
"GET","/t/employees/{employee_id}/big_codes/{big_code_id}","/v0/administration/employees/{employee_id}/big_codes/{big_code_id}",""
"PUT","/t/employees/{employee_id}/big_codes/{big_code_id}","/v0/administration/employees/{employee_id}/big_codes/{big_code_id}",""
"DELETE","/t/employees/{employee_id}/big_codes/{big_code_id}","/v0/administration/employees/{employee_id}/big_codes/{big_code_id}",""
"GET","/t/employees/{employee_id}/teams","/v0/administration/employees/{employee_id}/clipped_teams",""
"GET","/t/employees/{employee_id}/contracts","/v0/administration/employees/{employee_id}/contracts",""
"GET","/t/employees/{employee_id}/expertise_profile_assignments","/v0/administration/employees/{employee_id}/expertise_profile_assignments",""
"GET","/t/employees/{employee_id}/expertise_profiles","/v0/administration/employees/{employee_id}/expertise_profiles",""
"GET","/t/employees/{employee_id}/presence_logs","/v0/administration/employees/{employee_id}/presence_logs",""
"GET","/t/employees/{employee_id}/main_address","/v0/administration/employees/{employee_id}/primary_address",""
"PUT","/t/employees/{employee_id}/privacy_settings","/v0/administration/employees/{employee_id}/privacy_settings",""
"GET","/t/employees/{employee_id}/professions","/v0/administration/employees/{employee_id}/professions",""
"POST","/t/employees/{employee_id}/professions","/v0/administration/employees/{employee_id}/professions",""
"GET","/t/employees/{employee_id}/professions/{profession_id}","/v0/administration/employees/{employee_id}/professions/{profession_id}",""
"PUT","/t/employees/{employee_id}/professions/{profession_id}","/v0/administration/employees/{employee_id}/professions/{profession_id}",""
"DELETE","/t/employees/{employee_id}/professions/{profession_id}","/v0/administration/employees/{employee_id}/professions/{profession_id}",""
"GET","/t/employees/{employee_id}/team_assignments","/v0/administration/employees/{employee_id}/teams",""
"POST","/t/employees/{employee_id}/team_assignments","/v0/administration/employees/{employee_id}/teams",""
"GET","/t/employees/{employee_id}/team_assignments/{team_assignment_id}","/v0/administration/employees/{employee_id}/teams/{team_assignment_id}",""
"PUT","/t/employees/{employee_id}/team_assignments/{team_assignment_id}","/v0/administration/employees/{employee_id}/teams/{team_assignment_id}",""
"DELETE","/t/employees/{employee_id}/team_assignments/{team_assignment_id}","/v0/administration/employees/{employee_id}/teams/{team_assignment_id}",""
"GET","/t/employees/{employee_id}/weeksheet_profile","/v0/administration/employees/{employee_id}/weeksheet_profile",""
"DELETE","/t/employees/{employee_id}/weeksheet_profile","/v0/administration/employees/{employee_id}/weeksheet_profile",""
"PUT","/t/employees/{employee_id}/weeksheet_profile/{weeksheet_profile_id}","/v0/administration/employees/{employee_id}/weeksheet_profile/{weeksheet_profile_id}",""
"GET","/t/employees/by_email","/v0/administration/employees/by_email",""
"GET","/t/employees/by_identification_no/{identification_no}","/v0/administration/employees/by_identification_no/{identification_no}",""
"GET","/t/employees/by_uuid/{uuid}","/v0/administration/employees/by_uuid/{uuid}",""
"GET","/t/employees/search","/v0/administration/employees/find",""
"GET","/t/employees/multiple","/v0/administration/employees/multiple",""
"GET","/t/employees/search_by/teams/{id}","/v0/administration/employees/search_by_team","team_id: renamed from id, moved from path to query"
"PUT","/t/evs/response_message","/v0/administration/evs/response_message",""
"GET","/t/evs/evs_abilities/{action}","/v0/administration/evsabilities/{action}",""
"GET","/t/expense/expense_types","/v0/administration/expense_types",""
